Application Number,Publication number,Title,Status,Country,Grant Date,Expiration date,size_family,number_citations,score
US11821401,US20080011509,"Fractal and space-filling transmission lines, resonators, filters and passive network elements",Inactive-Sold,United States,2009-05-26 00:00:00,2020-07-12 00:00:00,27,100,1.7141760123389016
PCTEP0000422,WO0154221,"Fractal and space-filling transmission lines, resonators, filters and passive network elements",Inactive-Nationalized,International,,,0,0,1.0416666666666667
EP09152271,,"Fractal and space-filling transmission lines, resonators, filters and passive network elements",Inactive-Sold,European Patent,,,0,0,1.0416666666666667
IN00929KOLNP2003,,Miniature broadband ring-like microstrip patch antenna,Inactive-Sold,India,,2003-12-30 00:00:00,0,0,1.0416666666666667
MX2003PA07030,MXPA03007030,Miniature broadband ring-like microstrip patch antenna,Inactive-Sold,Mexico,,2003-12-30 00:00:00,104,104,1.4620519959218887
KR20037010345,,Miniature broadband ring-like microstrip patch antenna,Inactive-Sold,South Korea,,2003-12-30 00:00:00,0,0,1.0416666666666667
BR20010016866,BR0116866,Miniature broadband ring-like microstrip patch antenna,Inactive-Sold,Brazil,,2004-12-30 00:00:00,104,104,1.4620519959218887
CN01822540,CN1489804,Miniature broadband ring-like microstrip patch antenna,Inactive-Sold,China P.R.,,2004-12-30 00:00:00,104,104,1.4620519959218887
JP20020563556,JP2004520745,Miniature broadband ring-like microstrip patch antenna,Inactive-Sold,Japan,,2004-12-30 00:00:00,104,104,1.4620519959218887
RU2003127079,,Miniature broadband ring-like microstrip patch antenna,Inactive-Sold,Russia,,2004-12-30 00:00:00,0,0,1.0416666666666667
EP01911611,EP1358696,Miniature broadband ring-like microstrip patch antenna,Inactive-Sold,European Patent,,2010-01-16 00:00:00,104,104,1.4620519959218887
US10632604,US20040061648,Miniature broadband ring-like microstrip patch antenna,Inactive-Sold,United States,2005-03-22 00:00:00,2021-02-12 00:00:00,93,104,2.064694272344653
PCTEP0101287,WO02063714,Miniature broadband ring-like microstrip patch antenna,Inactive-Sold,International,,,0,0,1.0416666666666667
CN01823253,CN1507673,Dual-band dual-polarized antenna array,Inactive-Sold,China P.R.,,2004-12-30 00:00:00,122,122,1.5348109952160616
RU2003133306,,Dual-band dual-polarized antenna array,Inactive-Sold,Russia,,2004-12-30 00:00:00,0,0,1.0416666666666667
BR20010016985,BR0116985,Dual-band dual-polarized antenna array,Inactive-Sold,Brazil,,2005-12-30 00:00:00,122,122,1.5348109952160616
IN1410KOLNP2003,,Dual-band dual-polarized antenna array,Inactive-Sold,India,,2005-12-30 00:00:00,0,0,1.0416666666666667
MX2003PA09485,MX2003PA09485,Dual-band dual-polarized antenna array,Inactive-Sold,Mexico,,2005-12-30 00:00:00,0,0,1.0416666666666667
EP01929562,EP1380069,Dual-band dual-polarized antenna array,Inactive-Sold,Germany,2007-06-06 00:00:00,2009-12-30 00:00:00,122,122,1.5348109952160616
EP01929562,EP1380069,Dual-band dual-polarized antenna array,Inactive-Sold,Spain,2007-06-06 00:00:00,2021-04-16 00:00:00,122,122,2.159810995216062
EP01929562,EP1380069,Dual-band dual-polarized antenna array,Inactive-Sold,European Patent,2007-06-06 00:00:00,2021-04-16 00:00:00,122,122,2.159810995216062
US10686223,US20040145526,Dual-band dual-polarized antenna array,Inactive-Sold,United States,2005-08-30 00:00:00,2021-06-13 00:00:00,24,124,1.9646432959506446
PCTEP0104288,WO02084790,Dual-band dual-polarized antenna array,Inactive-Sold,International,,,0,0,1.0416666666666667
EP01983481,EP1425820,Multilevel and space-filling ground-planes for miniature and multiband antennas,Inactive-Abandoned,European Patent,,2007-09-04 00:00:00,46,53,0.8250071889786423
IN00445KOLNP2004,,Multilevel and space-filling ground-planes for miniature and multiband antennas,Inactive-Abandoned,India,,2008-07-24 00:00:00,0,0,0.625
JP20030527836,JP2005503062,Multilevel and space-filling ground-planes for miniature and multiband antennas,Inactive-Abandoned,Japan,,2008-10-16 00:00:00,53,53,0.839234831255065
MX2004PA02384,MXPA04002384,Multilevel and space-filling ground-planes for miniature and multiband antennas,Inactive-Abandoned,Mexico,,2008-10-16 00:00:00,53,53,0.839234831255065
RU2004111002,RU2004111002,Multilevel and space-filling ground-planes for miniature and multiband antennas,Inactive-Abandoned,Russia,2007-07-27 00:00:00,2008-10-16 00:00:00,53,53,0.839234831255065
KR1020047003660,,Multilevel and space-filling ground-planes for miniature and multiband antennas,Inactive-Abandoned,South Korea,,2008-10-16 00:00:00,0,0,0.625
EP07107431,EP1837950,Multilevel and space-filling ground-planes for miniature and multiband antennas,Inactive-Abandoned,European Patent,,2009-03-06 00:00:00,0,9,0.6430868167202572
BR20010017125,BR0117125,Multilevel and space-filling ground-planes for miniature and multiband antennas,Inactive-Abandoned,Brazil,,2010-04-13 00:00:00,53,53,0.839234831255065
CN20010823618,CN1545749,Multilevel and space-filling ground-planes for miniature and multiband antennas,Inactive-Abandoned,China P.R.,,2010-12-29 00:00:00,53,53,0.839234831255065
US10797732,US20040217916,Multilevel and space-filling ground-planes for miniature and multiband antennas,Inactive-Expired,United States,22/04/2008,2021-09-13 00:00:00,33,53,1.6319177580843331
US12033446,US20080174507,Multilevel and space-filling ground-planes for miniature and multiband antennas,Inactive-Expired,United States,30/03/2010,2021-09-13 00:00:00,26,55,1.621709408412412
US12652412,US20100141548,Multilevel and space-filling ground-planes for miniature and multiband antennas,Inactive-Expired,United States,22/03/2011,2021-09-13 00:00:00,22,55,1.6135793271115992
US13017226,US20120026058,Multilevel and space-filling ground-planes for miniature and multiband antennas,Inactive-Expired,United States,2013-11-12 00:00:00,2021-09-13 00:00:00,49,53,1.664438083287585
PCTEP0110589,WO03023900,Multilevel and space-filling ground-planes for miniature and multiband antennas,Inactive-Nationalized,International,,,0,0,1.0416666666666667
EP01274549,EP1436857,Multifrequency microstrip patch antenna with parasitic coupled elements,Inactive-Sold,Spain,2008-01-23 00:00:00,2008-10-17 00:00:00,127,127,1.5550218283533317
EP01274549,EP1436857,Multifrequency microstrip patch antenna with parasitic coupled elements,Inactive-Sold,Germany,2008-01-23 00:00:00,2009-05-01 00:00:00,127,127,1.5550218283533317
EP01274549,EP1436857,Multifrequency microstrip patch antenna with parasitic coupled elements,Inactive-Sold,European Patent,2008-01-23 00:00:00,2009-05-01 00:00:00,127,127,1.5550218283533317
US10823206,US20050190106,Multifrequency microstrip patch antenna with parasitic coupled elements,Inactive-Sold,United States,2007-04-10 00:00:00,2023-01-22 00:00:00,29,129,2.4015207957545814
PCTEP0111913,WO03034545,Multifrequency microstrip patch antenna with parasitic coupled elements,Inactive-Sold,International,,,0,0,1.0416666666666667
JP2003537152,,Loaded antenna,Inactive-Abandoned,Japan,,2004-11-22 00:00:00,0,0,0.625
PI0117154,,Loaded antenna,Inactive-Abandoned,Brazil,,2005-10-15 00:00:00,0,0,0.625
CN200710193346,CN101262087,Loaded antenna,Inactive-Abandoned,China P.R.,,2008-11-11 00:00:00,0,0,0.625
EP06018550,EP1732162,Loaded antenna,Inactive-Withdrawn,European Patent,,2011-07-06 00:00:00,0,7,0.6390675241157556
EP10180806,EP2264829,Loaded antenna,Inactive-Withdrawn,European Patent,,2011-07-06 00:00:00,2,7,0.6431325647661622
CN01823716,CN1559093,Loaded antenna,Inactive-Abandoned,China P.R.,2008-04-16 00:00:00,2013-10-16 00:00:00,160,160,1.2717466603926488
EP01274550,EP1444751,Loaded antenna,Inactive-Abandoned,Great Britain,2007-06-13 00:00:00,2013-10-16 00:00:00,160,160,1.2717466603926488
EP01274550,IT29990BE2007,Loaded antenna,Inactive-Abandoned,Italy,2007-06-13 00:00:00,2013-10-16 00:00:00,0,0,0.625
EP01274550,EP1444751,Loaded antenna,Inactive-Abandoned,France,2007-06-13 00:00:00,2013-10-31 00:00:00,160,160,1.2717466603926488
US12429360,US20090237316,Loaded antenna,Inactive-Abandoned,United States,,2014-02-06 00:00:00,63,163,1.0806211277546858
EP01274550,DE60128968,Loaded antenna,Inactive-Abandoned,Germany,2007-06-13 00:00:00,2014-05-01 00:00:00,160,160,1.2717466603926488
US10822933,US20060077101,Loaded antenna,Inactive-Abandoned,United States,2007-12-25 00:00:00,2019-12-25 00:00:00,62,162,1.284912294460565
EP01274550,EP1444751,Loaded antenna,Inactive-Abandoned,Spain,2007-06-13 00:00:00,2020-04-16 00:00:00,160,160,1.6884133270593153
EP01274550,EP1444751,Loaded antenna,Inactive-Abandoned,European Patent,2007-06-13 00:00:00,2020-04-16 00:00:00,160,160,1.6884133270593153
US11824823,US20080122715,Loaded antenna,Inactive-Abandoned,United States,2009-06-02 00:00:00,2021-06-02 00:00:00,159,160,1.8947141400674459
US13047205,US20120154231,Loaded antenna,Inactive-Expired,United States,2017-09-05 00:00:00,2021-11-14 00:00:00,305,308,2.6972230936135726
PCTEP0111914,WO03034538,Loaded antenna,Inactive-Nationalized,International,,,0,0,1.0416666666666667
EP06000450,,Multiband antenna,Inactive-Abandoned,European Patent,,2007-01-11 00:00:00,0,0,0.625
EP01982434,EP1436858,Multiband antenna,Inactive-Refused,European Patent,,2008-03-04 00:00:00,178,178,1.3445056596868221
EP08152010,EP1942551,Multiband antenna,Inactive-Withdrawn,European Patent,,2009-04-10 00:00:00,167,178,1.322147936109586
US10823257,US20040257285,Multiband antenna,Inactive-Expired,United States,2007-05-08 00:00:00,2021-10-16 00:00:00,80,180,1.9826712937547382
US11702791,US20070132658,Multiband antenna,Inactive-Expired,United States,21/10/2008,2021-10-16 00:00:00,80,180,1.9826712937547382
US12910016,US20110260926,Multiband antenna,Inactive-Expired,United States,24/07/2012,2021-10-16 00:00:00,178,178,2.1778389930201554
US13532869,US20130162489,Multiband antenna,Inactive-Expired,United States,13/05/2014,2021-12-13 00:00:00,171,178,2.1636113507437322
US12229483,US20090066582,Multiband antenna,Inactive-Expired,United States,2011-04-05 00:00:00,2022-01-19 00:00:00,166,179,2.3637917287533003
PCTEP0111912,WO03034544,Multiband antenna,Inactive-Nationalized,International,,,0,0,1.0416666666666667
